NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,MQ5,MP503,type
400.0,605.0,588.0,805.0,7.26,20.84,0.0,25.39,1021.52,17.48,321.36,-37.43,7.14,0.449,almonds
399.0,605.0,587.0,806.0,7.49,20.84,0.0,25.39,1021.51,17.47,318.89,-37.34,7.28,0.441,almonds
400.0,604.0,588.0,805.0,7.31,21.15,0.0,25.39,1021.51,17.45,318.58,-37.34,6.8,0.446,almonds
399.0,605.0,588.0,807.0,7.52,20.16,0.0,25.38,1021.51,17.44,320.12,-37.34,7.31,0.441,almonds
399.0,604.0,588.0,806.0,7.81,20.61,0.0,25.38,1021.51,17.42,318.89,-37.34,7.22,0.452,almonds
398.0,604.0,588.0,804.0,7.52,20.84,0.0,25.38,1021.52,17.39,320.12,-37.43,7.22,0.449,almonds
400.0,604.0,587.0,802.0,7.34,21.15,0.0,25.38,1021.52,17.38,318.89,-37.34,7.4,0.436,almonds
399.0,603.0,588.0,799.0,7.6,20.53,0.0,25.38,1021.52,17.37,320.43,-37.34,6.86,0.43,almonds
398.0,603.0,587.0,798.0,6.98,20.76,0.0,25.37,1021.51,17.34,321.98,-37.43,7.28,0.451,almonds
399.0,603.0,587.0,798.0,7.26,20.16,0.0,25.37,1021.53,17.33,321.05,-37.51,7.22,0.44,almonds
399.0,603.0,587.0,800.0,7.57,20.23,0.0,25.37,1021.54,17.31,321.05,-37.67,7.08,0.449,almonds
400.0,603.0,588.0,804.0,7.42,20.61,0.0,25.37,1021.55,17.29,321.05,-37.67,7.22,0.446,almonds
400.0,603.0,588.0,806.0,7.42,20.38,0.0,25.36,1021.55,17.28,321.67,-37.76,7.14,0.427,almonds
400.0,604.0,588.0,808.0,7.31,20.46,0.0,25.36,1021.56,17.27,322.61,-37.84,7.22,0.425,almonds
400.0,604.0,588.0,811.0,7.42,20.38,0.0,25.36,1021.57,17.26,321.98,-37.84,7.25,0.447,almonds
400.0,604.0,589.0,812.0,7.44,20.53,0.0,25.35,1021.57,17.25,323.55,-37.76,7.28,0.426,almonds
399.0,603.0,588.0,809.0,7.39,20.53,0.0,25.36,1021.56,17.24,320.12,-37.76,7.08,0.427,almonds
399.0,603.0,588.0,806.0,7.16,20.23,0.0,25.36,1021.55,17.23,323.24,-37.76,7.05,0.457,almonds
399.0,603.0,588.0,806.0,7.26,20.76,0.0,25.36,1021.55,17.22,321.67,-37.67,7.25,0.436,almonds
399.0,604.0,588.0,809.0,7.16,20.84,0.0,25.35,1021.54,17.21,321.98,-37.59,7.28,0.425,almonds
398.0,604.0,589.0,814.0,7.73,20.99,0.0,25.34,1021.54,17.2,321.67,-37.59,7.19,0.426,almonds
398.0,604.0,588.0,815.0,7.03,20.38,0.0,25.34,1021.53,17.19,322.92,-37.59,6.88,0.429,almonds
399.0,604.0,588.0,817.0,7.34,20.61,0.0,25.34,1021.55,17.18,322.61,-37.67,6.88,0.422,almonds
398.0,604.0,588.0,818.0,7.34,20.38,0.0,25.34,1021.54,17.18,322.29,-37.67,7.34,0.437,almonds
397.0,604.0,588.0,818.0,7.18,20.31,0.0,25.34,1021.54,17.18,320.74,-37.67,6.94,0.424,almonds
398.0,604.0,588.0,818.0,7.73,20.99,0.0,25.34,1021.55,17.15,323.24,-37.67,7.11,0.436,almonds
398.0,604.0,588.0,816.0,7.08,19.86,0.0,25.34,1021.55,17.15,321.98,-37.67,7.22,0.449,almonds
398.0,603.0,587.0,813.0,7.24,20.16,0.0,25.34,1021.55,17.15,322.61,-37.67,6.91,0.432,almonds
398.0,604.0,588.0,814.0,7.11,20.23,0.0,25.34,1021.55,17.15,322.92,-37.67,7.16,0.447,almonds
397.0,603.0,587.0,812.0,7.49,20.01,0.0,25.34,1021.54,17.14,323.24,-37.67,6.86,0.427,almonds
397.0,603.0,586.0,810.0,7.52,19.93,0.0,25.33,1021.54,17.14,322.92,-37.67,7.11,0.441,almonds
395.0,602.0,586.0,810.0,7.31,20.61,0.0,25.33,1021.54,17.13,321.67,-37.51,7.16,0.414,almonds
396.0,602.0,586.0,807.0,7.34,20.76,0.0,25.33,1021.53,17.12,324.18,-37.59,7.16,0.422,almonds
395.0,601.0,586.0,803.0,7.29,21.15,0.0,25.33,1021.53,17.13,321.67,-37.51,7.25,0.437,almonds
395.0,602.0,586.0,801.0,7.31,20.46,0.0,25.33,1021.52,17.12,321.67,-37.51,7.08,0.429,almonds
395.0,602.0,585.0,800.0,7.65,20.16,0.0,25.32,1021.53,17.11,322.92,-37.51,7.05,0.449,almonds
395.0,601.0,585.0,799.0,7.08,20.91,0.0,25.32,1021.52,17.1,322.92,-37.43,7.45,0.444,almonds
395.0,601.0,585.0,798.0,7.34,20.91,0.0,25.31,1021.52,17.1,323.55,-37.51,7.11,0.43,almonds
393.0,601.0,585.0,796.0,7.7,20.23,0.0,25.31,1021.52,17.11,324.18,-37.51,7.31,0.449,almonds
394.0,600.0,585.0,796.0,7.42,19.86,0.0,25.31,1021.54,17.1,323.87,-37.59,7.28,0.41,almonds
393.0,600.0,584.0,795.0,7.29,20.16,0.0,25.3,1021.54,17.1,326.1,-37.59,7.02,0.416,almonds
392.0,600.0,584.0,794.0,7.49,21.07,0.0,25.3,1021.54,17.1,324.18,-37.59,7.19,0.432,almonds
392.0,599.0,585.0,795.0,7.34,21.07,0.0,25.3,1021.54,17.09,326.1,-37.59,7.25,0.437,almonds
392.0,599.0,584.0,796.0,7.34,19.56,0.0,25.3,1021.54,17.1,324.18,-37.59,6.8,0.449,almonds
393.0,599.0,584.0,796.0,7.31,20.23,0.0,25.3,1021.54,17.1,325.46,-37.59,6.83,0.433,almonds
393.0,599.0,584.0,796.0,7.31,20.31,0.0,25.3,1021.54,17.1,324.82,-37.59,7.11,0.426,almonds
394.0,599.0,584.0,795.0,7.34,20.76,0.0,25.3,1021.54,17.11,326.1,-37.51,7.34,0.425,almonds
394.0,598.0,584.0,795.0,7.18,20.53,0.0,25.3,1021.53,17.11,323.87,-37.51,7.14,0.458,almonds
393.0,599.0,583.0,794.0,7.42,20.31,0.0,25.3,1021.53,17.11,325.14,-37.51,7.05,0.449,almonds
393.0,599.0,584.0,794.0,7.31,20.91,0.0,25.3,1021.53,17.11,324.18,-37.59,6.74,0.41,almonds
393.0,599.0,583.0,796.0,7.39,20.99,0.0,25.3,1021.53,17.11,324.82,-37.59,7.11,0.413,almonds
393.0,599.0,583.0,798.0,7.7,20.38,0.0,25.3,1021.54,17.11,324.18,-37.59,7.22,0.424,almonds
393.0,599.0,583.0,800.0,6.98,20.46,0.0,25.3,1021.53,17.11,323.24,-37.51,7.22,0.415,almonds
393.0,598.0,584.0,801.0,7.42,20.01,0.0,25.3,1021.53,17.11,325.14,-37.51,6.88,0.41,almonds
393.0,598.0,583.0,802.0,7.34,20.38,0.0,25.3,1021.53,17.1,322.92,-37.51,7.02,0.449,almonds
393.0,598.0,583.0,798.0,7.34,19.78,0.0,25.3,1021.52,17.11,324.5,-37.51,7.31,0.427,almonds
392.0,598.0,582.0,797.0,7.34,20.91,0.0,25.29,1021.53,17.1,323.87,-37.51,6.66,0.448,almonds
392.0,597.0,582.0,797.0,7.21,20.31,0.0,25.29,1021.53,17.1,323.24,-37.51,7.19,0.413,almonds
392.0,598.0,582.0,797.0,7.34,20.46,0.0,25.29,1021.54,17.1,323.87,-37.59,7.05,0.442,almonds
393.0,597.0,583.0,801.0,7.26,20.31,0.0,25.28,1021.55,17.1,326.1,-37.67,7.08,0.466,almonds
392.0,598.0,582.0,803.0,6.98,19.71,0.0,25.28,1021.55,17.1,325.14,-37.67,6.99,0.418,almonds
392.0,597.0,582.0,803.0,7.39,20.69,0.0,25.28,1021.54,17.09,324.5,-37.67,7.31,0.443,almonds
391.0,596.0,582.0,800.0,7.65,20.84,0.0,25.28,1021.55,17.11,326.1,-37.67,6.61,0.436,almonds
390.0,597.0,582.0,798.0,7.29,19.71,0.0,25.28,1021.54,17.1,326.74,-37.59,7.05,0.431,almonds
391.0,597.0,582.0,802.0,7.16,20.46,0.0,25.27,1021.54,17.11,327.38,-37.59,7.08,0.419,almonds
392.0,597.0,582.0,803.0,7.57,20.46,0.0,25.26,1021.53,17.11,327.38,-37.51,7.25,0.435,almonds
